species_code,alt_full_spp_code,n_locations,scientific_name,american_english_name,taxonomy_version,taxonomic_sort_order,image_url,small_image_url
reshaw,NA,6483,Buteo lineatus,Red-shouldered Hawk,2022,8205,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306105171/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306105171/320
reshaw5,reshaw,301,Buteo lineatus [lineatus Group],Red-shouldered Hawk (lineatus Group),2022,8206,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140321131/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140321131/320
reshaw2,reshaw,22,Buteo lineatus extimus,Red-shouldered Hawk (extimus),2022,8210,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/199772241/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/199772241/320
reshaw4,reshaw,60,Buteo lineatus elegans,Red-shouldered Hawk (elegans),2022,8211,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/186054601/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/186054601/320
brwhaw,NA,513,Buteo platypterus,Broad-winged Hawk,2022,8214,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71534291/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71534291/320
brwhaw1,brwhaw,3,Buteo platypterus platypterus,Broad-winged Hawk (Northern),2022,8215,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/609554880/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/609554880/320
shthaw,NA,16,Buteo brachyurus,Short-tailed Hawk,2022,8225,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306197891/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306197891/320
swahaw,NA,84,Buteo swainsoni,Swainson's Hawk,2022,8229,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71545031/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71545031/320
zothaw,NA,9,Buteo albonotatus,Zone-tailed Hawk,2022,8231,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306244251/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306244251/320
rethaw,NA,15202,Buteo jamaicensis,Red-tailed Hawk,2022,8233,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60384771/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60384771/320
wrthaw1,rethaw,117,Buteo jamaicensis calurus/alascensis,Red-tailed Hawk (calurus/alascensis),2022,8234,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/241295031/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/241295031/320
erthaw1,rethaw,307,Buteo jamaicensis borealis,Red-tailed Hawk (borealis),2022,8237,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/313547671/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/313547671/320
rethaw4,rethaw,16,Buteo jamaicensis abieticola,Red-tailed Hawk (abieticola),2022,8238,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/80930791/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/80930791/320
hrthaw1,rethaw,2,Buteo jamaicensis harlani,Red-tailed Hawk (Harlan's),2022,8240,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/208770861/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/208770861/320
krthaw1,rethaw,5,Buteo jamaicensis kriderii,Red-tailed Hawk (Krider's),2022,8241,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109377401/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109377401/320
rethaw2,rethaw,3,Buteo jamaicensis jamaicensis,Red-tailed Hawk (jamaicensis),2022,8250,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/204888591/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/204888591/320
rethaw3,rethaw,1,Buteo jamaicensis solitudinis,Red-tailed Hawk (solitudinis),2022,8251,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223764621/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223764621/320
rolhaw,NA,337,Buteo lagopus,Rough-legged Hawk,2022,8253,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71545911/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/71545911/320
ferhaw,NA,54,Buteo regalis,Ferruginous Hawk,2022,8260,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306323611/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306323611/320
combuz1,NA,12,Buteo buteo,Common Buzzard,2022,8262,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46432381/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46432381/320
buteo,NA,7,Buteo sp.,Buteo sp.,2022,8297,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/156421471/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/156421471/320
y00221,NA,1,Buteo/eagle sp.,Buteo/eagle sp.,2022,8299,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/258855281/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/258855281/320
