"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"miskit",NA,"8","Ictinia mississippiensis","Mississippi Kite",2022,7850
"wemhar1",NA,"1","Circus aeruginosus","Eurasian Marsh-Harrier",2022,7857
"swahar1",NA,"1","Circus approximans","Swamp Harrier",2022,7865
"norhar1",NA,"1","Circus cyaneus","Hen Harrier",2022,7872
"norhar2",NA,"1768","Circus hudsonius","Northern Harrier",2022,7873
"norhar",NA,"38","Circus cyaneus/hudsonius","Hen/Northern Harrier",2022,7874
"shshaw",NA,"25775","Accipiter striatus","Sharp-shinned Hawk",2022,8031
"shshaw2","shshaw","3","Accipiter striatus [velox Group]","Sharp-shinned Hawk (Northern)",2022,8036
"coohaw",NA,"29062","Accipiter cooperii","Cooper's Hawk",2022,8044
"y00612",NA,"8","Accipiter striatus/cooperii","Sharp-shinned/Cooper's Hawk",2022,8045
"norgos",NA,"1414","Accipiter gentilis","Northern Goshawk",2022,8062
"norgos2","norgos","3","Accipiter gentilis atricapillus/laingi","Northern Goshawk (American)",2022,8071
"y00666",NA,"3","Accipiter cooperii/gentilis","Cooper's Hawk/Northern Goshawk",2022,8076
"accipi",NA,"817","Accipiter sp.","Accipiter sp.",2022,8078
"baleag",NA,"2069","Haliaeetus leucocephalus","Bald Eagle",2022,8105
"whteag",NA,"1","Haliaeetus albicilla","White-tailed Eagle",2022,8109
"crahaw",NA,"1","Geranospiza caerulescens","Crane Hawk",2022,8123
"comblh1",NA,"5","Buteogallus anthracinus","Common Black Hawk",2022,8134
"hrshaw",NA,"95","Parabuteo unicinctus","Harris's Hawk",2022,8171
"whthaw",NA,"1","Geranoaetus albicaudatus","White-tailed Hawk",2022,8175
"gryhaw2",NA,"12","Buteo plagiatus","Gray Hawk",2022,8199
"reshaw",NA,"6483","Buteo lineatus","Red-shouldered Hawk",2022,8205
"reshaw5","reshaw","301","Buteo lineatus [lineatus Group]","Red-shouldered Hawk (lineatus Group)",2022,8206
"reshaw2","reshaw","22","Buteo lineatus extimus","Red-shouldered Hawk (extimus)",2022,8210
"reshaw4","reshaw","60","Buteo lineatus elegans","Red-shouldered Hawk (elegans)",2022,8211
"brwhaw",NA,"513","Buteo platypterus","Broad-winged Hawk",2022,8214
"brwhaw1","brwhaw","3","Buteo platypterus platypterus","Broad-winged Hawk (Northern)",2022,8215
"shthaw",NA,"16","Buteo brachyurus","Short-tailed Hawk",2022,8225
"swahaw",NA,"84","Buteo swainsoni","Swainson's Hawk",2022,8229
"zothaw",NA,"9","Buteo albonotatus","Zone-tailed Hawk",2022,8231
"rethaw",NA,"15202","Buteo jamaicensis","Red-tailed Hawk",2022,8233
"wrthaw1","rethaw","117","Buteo jamaicensis calurus/alascensis","Red-tailed Hawk (calurus/alascensis)",2022,8234
"erthaw1","rethaw","307","Buteo jamaicensis borealis","Red-tailed Hawk (borealis)",2022,8237
"rethaw4","rethaw","16","Buteo jamaicensis abieticola","Red-tailed Hawk (abieticola)",2022,8238
"hrthaw1","rethaw","2","Buteo jamaicensis harlani","Red-tailed Hawk (Harlan's)",2022,8240
"krthaw1","rethaw","5","Buteo jamaicensis kriderii","Red-tailed Hawk (Krider's)",2022,8241
"rethaw2","rethaw","3","Buteo jamaicensis jamaicensis","Red-tailed Hawk (jamaicensis)",2022,8250
"rethaw3","rethaw","1","Buteo jamaicensis solitudinis","Red-tailed Hawk (solitudinis)",2022,8251
"rolhaw",NA,"337","Buteo lagopus","Rough-legged Hawk",2022,8253
"ferhaw",NA,"54","Buteo regalis","Ferruginous Hawk",2022,8260
"combuz1",NA,"12","Buteo buteo","Common Buzzard",2022,8262
"buteo",NA,"7","Buteo sp.","Buteo sp.",2022,8297
"y00221",NA,"1","Buteo/eagle sp.","Buteo/eagle sp.",2022,8299
"hawk",NA,"368","Accipitridae sp. (hawk sp.)","hawk sp.",2022,8300
"eagle1",NA,"6","Accipitridae sp. (eagle sp.)","eagle sp.",2022,8301
"brnowl",NA,"109","Tyto alba","Barn Owl",2022,8336
"wesowl1",NA,"95","Megascops kennicottii","Western Screech-Owl",2022,8572
"easowl1",NA,"652","Megascops asio","Eastern Screech-Owl",2022,8583
"eassco1","easowl1","6","Megascops asio [asio Group]","Eastern Screech-Owl (Northern)",2022,8584
"screec1",NA,"14","Megascops sp.","screech-owl sp.",2022,8600
"snoowl1",NA,"98","Bubo scandiacus","Snowy Owl",2022,8623
"grhowl",NA,"1556","Bubo virginianus","Great Horned Owl",2022,8624
"nohowl",NA,"41","Surnia ulula","Northern Hawk Owl",2022,8711
"nopowl",NA,"318","Glaucidium gnoma","Northern Pygmy-Owl",2022,8723
"moupyo1","nopowl","4","Glaucidium gnoma gnoma","Northern Pygmy-Owl (Mountain)",2022,8724
"norpyo1","nopowl","3","Glaucidium gnoma [californicum Group]","Northern Pygmy-Owl (Pacific)",2022,8725
"norpyo2","nopowl","4","Glaucidium gnoma pinicola","Northern Pygmy-Owl (Rocky Mts.)",2022,8729
"fepowl",NA,"1","Glaucidium brasilianum","Ferruginous Pygmy-Owl",2022,8749
"burowl",NA,"3","Athene cunicularia","Burrowing Owl",2022,8845
"motowl",NA,"1","Strix virgata","Mottled Owl",2022,8869
"spoowl",NA,"1","Strix occidentalis","Spotted Owl",2022,8926
"brdowl",NA,"1930","Strix varia","Barred Owl",2022,8930
"x00439",NA,"4","Strix occidentalis x varia","Spotted x Barred Owl (hybrid)",2022,8934
"grgowl",NA,"85","Strix nebulosa","Great Gray Owl",2022,8954
"loeowl",NA,"40","Asio otus","Long-eared Owl",2022,8964
"sheowl",NA,"29","Asio flammeus","Short-eared Owl",2022,8987
"borowl",NA,"38","Aegolius funereus","Boreal Owl",2022,9007
"nswowl",NA,"185","Aegolius acadicus","Northern Saw-whet Owl",2022,9015
"owl1",NA,"7","Strigiformes sp.","owl sp.",2022,9112
"cittro1",NA,"1","Trogon citreolus","Citreoline Trogon",2022,9194
"eletro",NA,"1","Trogon elegans","Elegant Trogon",2022,9224
"rucmot1",NA,"1","Momotus mexicanus","Russet-crowned Motmot",2022,9487
"rinkin1",NA,"6","Megaceryle torquata","Ringed Kingfisher",2022,9934
"belkin1",NA,"802","Megaceryle alcyon","Belted Kingfisher",2022,9939
"grnkin",NA,"3","Chloroceryle americana","Green Kingfisher",2022,9949
"kingfi1",NA,"3","Alcedinidae sp.","kingfisher sp.",2022,9959
"wilsap",NA,"91","Sphyrapicus thyroideus","Williamson's Sapsucker",2022,10813
"yebsap",NA,"13138","Sphyrapicus varius","Yellow-bellied Sapsucker",2022,10816
"rensap",NA,"345","Sphyrapicus nuchalis","Red-naped Sapsucker",2022,10817
"y00019",NA,"13","Sphyrapicus varius/nuchalis","Yellow-bellied/Red-naped Sapsucker",2022,10819
"rebsap",NA,"1493","Sphyrapicus ruber","Red-breasted Sapsucker",2022,10820
"x00712",NA,"2","Sphyrapicus varius x ruber","Yellow-bellied x Red-breasted Sapsucker (hybrid)",2022,10823
"rnxsap1",NA,"1","Sphyrapicus nuchalis x ruber","Red-naped x Red-breasted Sapsucker (hybrid)",2022,10824
"sapsuc",NA,"5","Sphyrapicus sp.","sapsucker sp.",2022,10826
"lewwoo",NA,"153","Melanerpes lewis","Lewis's Woodpecker",2022,10831
"rehwoo",NA,"8698","Melanerpes erythrocephalus","Red-headed Woodpecker",2022,10834
"acowoo",NA,"1512","Melanerpes formicivorus","Acorn Woodpecker",2022,10835
"yefwoo1",NA,"1","Melanerpes flavifrons","Yellow-fronted Woodpecker",2022,10846
"gocwoo1",NA,"1","Melanerpes chrysogenys","Golden-cheeked Woodpecker",2022,10852
"gilwoo",NA,"604","Melanerpes uropygialis","Gila Woodpecker",2022,10865
"gofwoo",NA,"522","Melanerpes aurifrons","Golden-fronted Woodpecker",2022,10871
"rebwoo",NA,"51572","Melanerpes carolinus","Red-bellied Woodpecker",2022,10887
"attwoo1",NA,"81","Picoides dorsalis","American Three-toed Woodpecker",2022,10904
"attwoo2","attwoo1","1","Picoides dorsalis dorsalis","American Three-toed Woodpecker (Rocky Mts.)",2022,10905
"attwoo3","attwoo1","1","Picoides dorsalis fasciatus","American Three-toed Woodpecker (Northwest)",2022,10906
"attwoo4","attwoo1","2","Picoides dorsalis bacatus","American Three-toed Woodpecker (Eastern)",2022,10907
"bkbwoo",NA,"64","Picoides arcticus","Black-backed Woodpecker",2022,10908
"y00617",NA,"2","Picoides dorsalis/arcticus","American Three-toed/Black-backed Woodpecker",2022,10909
"dowwoo",NA,"77288","Dryobates pubescens","Downy Woodpecker",2022,11083
"nutwoo",NA,"1467","Dryobates nuttallii","Nuttall's Woodpecker",2022,11093
"labwoo",NA,"1491","Dryobates scalaris","Ladder-backed Woodpecker",2022,11095
"x00620",NA,"1","Dryobates nuttallii x scalaris","Nuttall's x Ladder-backed Woodpecker (hybrid)",2022,11107
"recwoo",NA,"33","Dryobates borealis","Red-cockaded Woodpecker",2022,11109
"haiwoo",NA,"49993","Dryobates villosus","Hairy Woodpecker",2022,11110
"y00322",NA,"48","Dryobates pubescens/villosus","Downy/Hairy Woodpecker",2022,11131
"whhwoo",NA,"176","Dryobates albolarvatus","White-headed Woodpecker",2022,11134
"strwoo",NA,"2","Dryobates stricklandi","Strickland's Woodpecker",2022,11143
"ariwoo",NA,"3","Dryobates arizonae","Arizona Woodpecker",2022,11144
"pabwoo1",NA,"1","Campephilus guatemalensis","Pale-billed Woodpecker",2022,11240
"pilwoo",NA,"18912","Dryocopus pileatus","Pileated Woodpecker",2022,11435
"norfli",NA,"39260","Colaptes auratus","Northern Flicker",2022,11572
"yesfli","norfli","437","Colaptes auratus auratus/luteus","Northern Flicker (Yellow-shafted)",2022,11575
"resfli","norfli","311","Colaptes auratus [cafer Group]","Northern Flicker (Red-shafted)",2022,11578
"rxyfli","norfli","73","Colaptes auratus luteus x cafer","Northern Flicker (Yellow-shafted x Red-shafted)",2022,11584
"gilfli",NA,"152","Colaptes chrysoides","Gilded Flicker",2022,11586
"y00323",NA,"8","Colaptes auratus/chrysoides","Northern/Gilded Flicker",2022,11592
"woodpe1",NA,"10","Picidae sp.","woodpecker sp.",2022,11605
"laufal1",NA,"1","Herpetotheres cachinnans","Laughing Falcon",2022,11610
"baffal1",NA,"1","Micrastur ruficollis","Barred Forest-Falcon",2022,11618
"y00678",NA,"11","Caracara plancus","Crested Caracara",2022,11633
"crecar1","y00678","55","Caracara plancus cheriway","Crested Caracara (Northern)",2022,11634
"leskes1",NA,"1","Falco naumanni","Lesser Kestrel",2022,11662
"amekes",NA,"3588","Falco sparverius","American Kestrel",2022,11697
"amekes1","amekes","118","Falco sparverius [sparverius Group]","American Kestrel (Northern)",2022,11698
"merlin",NA,"2344","Falco columbarius","Merlin",2022,11731
"merlin1","merlin","1","Falco columbarius [aesalon Group]","Merlin (Eurasian)",2022,11732
"taimer1","merlin","3","Falco columbarius columbarius","Merlin (Taiga)",2022,11739
"pramer1","merlin","52","Falco columbarius richardsonii","Merlin (Prairie)",2022,11740
"blkmer1","merlin","39","Falco columbarius suckleyi","Merlin (Black)",2022,11741
"aplfal",NA,"1","Falco femoralis","Aplomado Falcon",2022,11759
"gyrfal",NA,"28","Falco rusticolus","Gyrfalcon",2022,11780
"perfal",NA,"517","Falco peregrinus","Peregrine Falcon",2022,11781
"perfal1","perfal","5","Falco peregrinus anatum","Peregrine Falcon (North American)",2022,11782
"tupfal1","perfal","1","Falco peregrinus calidus/tundrius","Peregrine Falcon (Tundra)",2022,11783
"prafal",NA,"142","Falco mexicanus","Prairie Falcon",2022,11805
"smafal",NA,"5","Falco sp. (small falcon sp.)","small falcon sp.",2022,11809
"falcon",NA,"8","Falco sp.","falcon sp.",2022,11810
"diurap1",NA,"91","Accipitriformes/Falconiformes sp.","diurnal raptor sp.",2022,11811
"cockat",NA,"4","Nymphicus hollandicus","Cockatiel",2022,11886
"eclpar",NA,"1","Eclectus roratus","Eclectus Parrot",2022,11970
"rorpar",NA,"3","Psittacula krameri","Rose-ringed Parakeet",2022,12019
"budger",NA,"103","Melopsittacus undulatus","Budgerigar",2022,12219
"peflov",NA,"67","Agapornis roseicollis","Rosy-faced Lovebird",2022,12407
"yeclov",NA,"2","Agapornis personatus","Yellow-collared Lovebird",2022,12411
"lovebi1",NA,"5","Agapornis sp.","lovebird sp.",2022,12416
"monpar",NA,"225","Myiopsitta monachus","Monk Parakeet",2022,12477
"monpar1","monpar","10","Myiopsitta monachus [monachus Group]","Monk Parakeet (Monk)",2022,12478
"whwpar",NA,"7","Brotogeris versicolurus","White-winged Parakeet",2022,12487
"yecpar",NA,"9","Brotogeris chiriri","Yellow-chevroned Parakeet",2022,12488
"recpar",NA,"31","Amazona viridigenalis","Red-crowned Parrot",2022,12563
"relpar",NA,"1","Amazona autumnalis","Red-lored Parrot",2022,12566
"yehpar",NA,"2","Amazona oratrix","Yellow-headed Parrot",2022,12582
"ywcpar",NA,"1","Amazona ochrocephala","Yellow-crowned Parrot",2022,12590
"orwpar",NA,"1","Amazona amazonica","Orange-winged Parrot",2022,12627
"mexpar1",NA,"1","Forpus cyanopygius","Mexican Parrotlet",2022,12637
"orfpar",NA,"2","Eupsittula canicularis","Orange-fronted Parakeet",2022,12750
"bkhpar",NA,"41","Aratinga nenday","Nanday Parakeet",2022,12778
"chfmac1",NA,"1","Ara severus","Chestnut-fronted Macaw",2022,12792
"bucpar",NA,"13","Thectocercus acuticaudatus","Blue-crowned Parakeet",2022,12814
"grnpar",NA,"12","Psittacara holochlorus","Green Parakeet",2022,12828
"mitpar",NA,"8","Psittacara mitratus","Mitred Parakeet",2022,12846
"rempar",NA,"7","Psittacara erythrogenys","Red-masked Parakeet",2022,12853
"whepar2",NA,"2","Psittacara leucophthalmus","White-eyed Parakeet",2022,12855
"hispar",NA,"1","Psittacara chloropterus","Hispaniolan Parakeet",2022,12860
"parake",NA,"17","Psittaciformes sp. (parakeet sp.)","parakeet sp.",2022,12865
"parrot",NA,"9","Psittaciformes sp. (parrot sp.)","parrot sp.",2022,12866
"ivbwoo1",NA,"1","Xiphorhynchus flavigaster","Ivory-billed Woodcreeper",2022,14453
"mastit1",NA,"1","Tityra semifasciata","Masked Tityra",2022,15557
"secfly1",NA,"1","Leptopogon amaurocephalus","Sepia-capped Flycatcher",2022,15821
"cotfly1",NA,"1","Todirostrum cinereum","Common Tody-Flycatcher",2022,16013
"nobtyr",NA,"1","Camptostoma imberbe","Northern Beardless-Tyrannulet",2022,16132
"olsfly",NA,"11","Contopus cooperi","Olive-sided Flycatcher",2022,16467
"grepew",NA,"3","Contopus pertinax","Greater Pewee",2022,16469
"wewpew",NA,"25","Contopus sordidulus","Western Wood-Pewee",2022,16489
"eawpew",NA,"156","Contopus virens","Eastern Wood-Pewee",2022,16501
"yebfly",NA,"29","Empidonax flaviventris","Yellow-bellied Flycatcher",2022,16526
"acafly",NA,"19","Empidonax virescens","Acadian Flycatcher",2022,16527
"aldfly",NA,"3","Empidonax alnorum","Alder Flycatcher",2022,16528
"wilfly",NA,"8","Empidonax traillii","Willow Flycatcher",2022,16529
"wilfly1","wilfly","1","Empidonax traillii traillii","Willow Flycatcher (Eastern)",2022,16530
"y00324",NA,"1","Empidonax alnorum/traillii","Alder/Willow Flycatcher (Traill's Flycatcher)",2022,16535
"leafly",NA,"65","Empidonax minimus","Least Flycatcher",2022,16540
"hamfly",NA,"6","Empidonax hammondii","Hammond's Flycatcher",2022,16541
"gryfly",NA,"18","Empidonax wrightii","Gray Flycatcher",2022,16542
"dusfly",NA,"10","Empidonax oberholseri","Dusky Flycatcher",2022,16543
"pasfly",NA,"86","Empidonax difficilis","Pacific-slope Flycatcher",2022,16552
"corfly",NA,"2","Empidonax occidentalis","Cordilleran Flycatcher",2022,16556
"wesfly",NA,"17","Empidonax difficilis/occidentalis","Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)",2022,16560
"empido",NA,"2","Empidonax sp.","Empidonax sp.",2022,16573
"blkpho",NA,"2070","Sayornis nigricans","Black Phoebe",2022,16574
"easpho",NA,"7179","Sayornis phoebe","Eastern Phoebe",2022,16583
"x00621",NA,"1","Sayornis nigricans x phoebe","Black x Eastern Phoebe (hybrid)",2022,16584
"saypho",NA,"689","Sayornis saya","Say's Phoebe",2022,16585
"phoebe1",NA,"7","Sayornis sp.","phoebe sp.",2022,16589
"verfly",NA,"81","Pyrocephalus rubinus","Vermilion Flycatcher",2022,16604
"ducfly",NA,"3","Myiarchus tuberculifer","Dusky-capped Flycatcher",2022,16859
"astfly",NA,"113","Myiarchus cinerascens","Ash-throated Flycatcher",2022,16898
"nutfly",NA,"1","Myiarchus nuttingi","Nutting's Flycatcher",2022,16901
"grcfly",NA,"328","Myiarchus crinitus","Great Crested Flycatcher",2022,16907
"bncfly",NA,"12","Myiarchus tyrannulus","Brown-crested Flycatcher",2022,16908
"grekis",NA,"46","Pitangus sulphuratus","Great Kiskadee",2022,16941
"socfly1",NA,"1","Myiozetetes similis","Social Flycatcher",2022,16965
"trokin",NA,"6","Tyrannus melancholicus","Tropical Kingbird",2022,17025
"coukin",NA,"21","Tyrannus couchii","Couch's Kingbird",2022,17030
"caskin",NA,"144","Tyrannus vociferans","Cassin's Kingbird",2022,17032
"thbkin",NA,"1","Tyrannus crassirostris","Thick-billed Kingbird",2022,17035
"weskin",NA,"147","Tyrannus verticalis","Western Kingbird",2022,17038
"y00619",NA,"28","Tyrannus vociferans/verticalis","Cassin's/Western Kingbird",2022,17040
"easkin",NA,"227","Tyrannus tyrannus","Eastern Kingbird",2022,17042
"grykin",NA,"7","Tyrannus dominicensis","Gray Kingbird",2022,17044
"sctfly",NA,"71","Tyrannus forficatus","Scissor-tailed Flycatcher",2022,17058
"flycat1",NA,"45","Tyrannidae sp.","new world flycatcher sp.",2022,17069
"golvir1",NA,"2","Vireo hypochryseus","Golden Vireo",2022,18694
"bkcvir1",NA,"3","Vireo atricapilla","Black-capped Vireo",2022,18700
"whevir",NA,"399","Vireo griseus","White-eyed Vireo",2022,18702
"belvir",NA,"64","Vireo bellii","Bell's Vireo",2022,18729
"belvir1","belvir","1","Vireo bellii bellii/medius","Bell's Vireo (Eastern)",2022,18730
"belvir2","belvir","1","Vireo bellii arizonae","Bell's Vireo (Arizona)",2022,18733
"gryvir",NA,"32","Vireo vicinior","Gray Vireo",2022,18735
"hutvir",NA,"371","Vireo huttoni","Hutton's Vireo",2022,18736
"hutvir1","hutvir","9","Vireo huttoni [huttoni Group]","Hutton's Vireo (Pacific)",2022,18737
"yetvir",NA,"138","Vireo flavifrons","Yellow-throated Vireo",2022,18752
"casvir",NA,"50","Vireo cassinii","Cassin's Vireo",2022,18755
"buhvir",NA,"427","Vireo solitarius","Blue-headed Vireo",2022,18758
"plsvir",NA,"14","Vireo plumbeus","Plumbeous Vireo",2022,18763
"y00484",NA,"1","Vireo cassinii/plumbeus","Cassin's/Plumbeous Vireo",2022,18771
"solvir1",NA,"27","Vireo cassinii/solitarius/plumbeus","solitary vireo sp.",2022,18772
"phivir",NA,"13","Vireo philadelphicus","Philadelphia Vireo",2022,18774
"warvir",NA,"69","Vireo gilvus","Warbling Vireo",2022,18775
"eawvir1","warvir","1","Vireo gilvus gilvus","Warbling Vireo (Eastern)",2022,18776
"reevir1",NA,"116","Vireo olivaceus","Red-eyed Vireo",2022,18795
"reevir",NA,"1","Vireo olivaceus/chivi","Red-eyed/Chivi Vireo",2022,18811
"yegvir",NA,"5","Vireo flavoviridis","Yellow-green Vireo",2022,18813
"bkwvir",NA,"1","Vireo altiloquus","Black-whiskered Vireo",2022,18818
"vireo1",NA,"14","Vireo sp.","vireo sp.",2022,18830
"brnshr",NA,"1","Lanius cristatus","Brown Shrike",2022,20535
"logshr",NA,"669","Lanius ludovicianus","Loggerhead Shrike",2022,20571
"norshr4",NA,"2880","Lanius borealis","Northern Shrike",2022,20583
"norshr3","norshr4","1","Lanius borealis borealis","Northern Shrike (American)",2022,20589
"y00620",NA,"69","Lanius ludovicianus/borealis","Loggerhead/Northern Shrike",2022,20590
"norshr",NA,"94","Lanius borealis/excubitor","Northern/Great Gray Shrike",2022,20608
"shrike",NA,"29","Lanius sp.","shrike sp.",2022,20654
"gryjay",NA,"3450","Perisoreus canadensis","Canada Jay",2022,20674
