"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"waxwin",NA,"7","Bombycilla garrulus/cedrorum","Bohemian/Cedar Waxwing",2022,29257
"grsfly1",NA,"3","Ptiliogonys cinereus","Gray Silky-flycatcher",2022,29270
"phaino",NA,"287","Phainopepla nitens","Phainopepla",2022,29276
"oliwar",NA,"1","Peucedramus taeniatus","Olive Warbler",2022,30052
"orabis1",NA,"7","Euplectes franciscanus","Northern Red Bishop",2022,30299
"redbis",NA,"1","Euplectes orix","Southern Red Bishop",2022,30300
"zebfin1","zebfin2","1","Taeniopygia guttata guttata","Zebra Finch (Lesser Sundas)",2022,30390
"broman1",NA,"6","Spermestes cucullata","Bronze Mannikin",2022,30404
"afrsil1",NA,"2","Euodice cantans","African Silverbill",2022,30416
"javspa",NA,"19","Padda oryzivora","Java Sparrow",2022,30420
"nutman",NA,"257","Lonchura punctulata","Scaly-breasted Munia",2022,30430
"chemun",NA,"2","Lonchura atricapilla","Chestnut Munia",2022,30469
"orcwax",NA,"1","Estrilda melpoda","Orange-cheeked Waxbill",2022,30642
"comwax",NA,"5","Estrilda astrild","Common Waxbill",2022,30652
"redava",NA,"2","Amandava amandava","Red Avadavat",2022,30705
"bubcor1",NA,"1","Uraeginthus angolensis","Southern Cordonbleu",2022,30712
"rebfir2",NA,"1","Lagonosticta senegala","Red-billed Firefinch",2022,30761
"pitwhy",NA,"15","Vidua macroura","Pin-tailed Whydah",2022,30795
"sibacc",NA,"1","Prunella montanella","Siberian Accentor",2022,30849
"houspa",NA,"63870","Passer domesticus","House Sparrow",2022,30886
"eutspa",NA,"704","Passer montanus","Eurasian Tree Sparrow",2022,30954
"x00754",NA,"3","Passer domesticus x montanus","House x Eurasian Tree Sparrow (hybrid)",2022,30964
"y00597",NA,"1","Motacilla flava/tschutschensis","Western/Eastern Yellow Wagtail",2022,31056
"watpip1",NA,"1","Anthus spinoletta","Water Pipit",2022,31216
"amepip",NA,"92","Anthus rubescens","American Pipit",2022,31227
"amepip2","amepip","2","Anthus rubescens [rubescens Group]","American Pipit (rubescens Group)",2022,31229
"sprpip",NA,"1","Anthus spragueii","Sprague's Pipit",2022,31234
"pipit1",NA,"1","Anthus sp.","pipit sp.",2022,31272
"comcha",NA,"4","Fringilla coelebs","Common Chaffinch",2022,31293
"brambl",NA,"10","Fringilla montifringilla","Brambling",2022,31315
"evegro",NA,"12889","Coccothraustes vespertinus","Evening Grosbeak",2022,31425
"hawfin",NA,"1","Coccothraustes coccothraustes","Hawfinch",2022,31434
"comros",NA,"2","Carpodacus erythrinus","Common Rosefinch",2022,31489
"pingro",NA,"5425","Pinicola enucleator","Pine Grosbeak",2022,31561
"gcrfin",NA,"299","Leucosticte tephrocotis","Gray-crowned Rosy-Finch",2022,31634
"gycrof4","gcrfin","2","Leucosticte tephrocotis [tephrocotis Group]","Gray-crowned Rosy-Finch (Gray-crowned)",2022,31638
"bkrfin",NA,"80","Leucosticte atrata","Black Rosy-Finch",2022,31644
"bcrfin",NA,"38","Leucosticte australis","Brown-capped Rosy-Finch",2022,31646
"rosfin",NA,"900","Leucosticte sp.","rosy-finch sp.",2022,31647
"houfin",NA,"76988","Haemorhous mexicanus","House Finch",2022,31648
"purfin",NA,"43662","Haemorhous purpureus","Purple Finch",2022,31662
"purfin1","purfin","1","Haemorhous purpureus purpureus","Purple Finch (Eastern)",2022,31663
"purfin2","purfin","4","Haemorhous purpureus californicus","Purple Finch (Western)",2022,31664
"y00338",NA,"51","Haemorhous mexicanus/purpureus","House/Purple Finch",2022,31666
"casfin",NA,"3756","Haemorhous cassinii","Cassin's Finch",2022,31667
"eurgre1",NA,"4","Chloris chloris","European Greenfinch",2022,31674
"yefcan",NA,"9","Crithagra mozambica","Yellow-fronted Canary",2022,31704
"comred",NA,"19641","Acanthis flammea","Common Redpoll",2022,31820
"comred3","comred","2","Acanthis flammea flammea","Common Redpoll (flammea)",2022,31821
"hoared",NA,"3452","Acanthis hornemanni","Hoary Redpoll",2022,31827
"x00625",NA,"3","Acanthis flammea x hornemanni","Common x Hoary Redpoll (hybrid)",2022,31830
"redpol",NA,"41","Acanthis flammea/hornemanni","Common/Hoary Redpoll",2022,31831
"redcro",NA,"1653","Loxia curvirostra","Red Crossbill",2022,31835
"redcro1","redcro","1","Loxia curvirostra (type 1)","Red Crossbill (Appalachian or type 1)",2022,31863
"whwcro",NA,"1311","Loxia leucoptera","White-winged Crossbill",2022,31878
"crossb",NA,"9","Loxia sp.","crossbill sp.",2022,31881
"eurgol",NA,"85","Carduelis carduelis","European Goldfinch",2022,31889
"comcan",NA,"1","Serinus canaria","Island Canary",2022,31910
"islcan1","comcan","2","Serinus canaria (Domestic type)","Island Canary (Domestic type)",2022,31911
"canary1",NA,"1","Serinus sp.","Serinus sp.",2022,31928
"pinsis",NA,"35964","Spinus pinus","Pine Siskin",2022,31931
"blhsis1",NA,"1","Spinus notatus","Black-headed Siskin",2022,31940
"lesgol",NA,"7397","Spinus psaltria","Lesser Goldfinch",2022,31945
"lawgol",NA,"406","Spinus lawrencei","Lawrence's Goldfinch",2022,31952
"amegfi",NA,"75152","Spinus tristis","American Goldfinch",2022,31953
"goldfi",NA,"23","Spinus sp. (goldfinch sp.)","new world goldfinch sp.",2022,31961
"spinus1",NA,"1","Spinus sp.","Spinus sp.",2022,31992
"y00631",NA,"1","Acanthis/Spinus sp.","Acanthis/Spinus sp.",2022,31993
"finch1",NA,"7","Fringillidae sp.","finch sp.",2022,31994
"laplon",NA,"108","Calcarius lapponicus","Lapland Longspur",2022,31996
"chclon",NA,"3","Calcarius ornatus","Chestnut-collared Longspur",2022,32000
"smilon",NA,"4","Calcarius pictus","Smith's Longspur",2022,32001
"mcclon",NA,"3","Rhynchophanes mccownii","Thick-billed Longspur",2022,32002
"snobun",NA,"2786","Plectrophenax nivalis","Snow Bunting",2022,32004
"mckbun",NA,"2","Plectrophenax hyperboreus","McKay's Bunting",2022,32010
"yebbun",NA,"1","Emberiza aureola","Yellow-breasted Bunting",2022,32153
"rusbun",NA,"6","Emberiza rustica","Rustic Bunting",2022,32157
"grybun",NA,"1","Emberiza variabilis","Gray Bunting",2022,32169
"ruwspa",NA,"48","Peucaea carpalis","Rufous-winged Sparrow",2022,32236
"botspa",NA,"2","Peucaea botterii","Botteri's Sparrow",2022,32249
"casspa",NA,"16","Peucaea cassinii","Cassin's Sparrow",2022,32261
"bacspa",NA,"18","Peucaea aestivalis","Bachman's Sparrow",2022,32263
"graspa",NA,"50","Ammodramus savannarum","Grasshopper Sparrow",2022,32268
"olispa",NA,"22","Arremonops rufivirgatus","Olive Sparrow",2022,32291
"chispa",NA,"28130","Spizella passerina","Chipping Sparrow",2022,32315
"clcspa",NA,"258","Spizella pallida","Clay-colored Sparrow",2022,32321
"x00198",NA,"1","Spizella passerina x pallida","Chipping x Clay-colored Sparrow (hybrid)",2022,32322
"bkcspa",NA,"46","Spizella atrogularis","Black-chinned Sparrow",2022,32323
"fiespa",NA,"8242","Spizella pusilla","Field Sparrow",2022,32328
"brespa",NA,"131","Spizella breweri","Brewer's Sparrow",2022,32333
"x00201",NA,"1","Spizella atrogularis x breweri","Black-chinned x Brewer's Sparrow (hybrid)",2022,32336
"bktspa",NA,"741","Amphispiza bilineata","Black-throated Sparrow",2022,32343
"larspa",NA,"688","Chondestes grammacus","Lark Sparrow",2022,32354
"larbun",NA,"80","Calamospiza melanocorys","Lark Bunting",2022,32357
"amtspa",NA,"29909","Spizelloides arborea","American Tree Sparrow",2022,32421
"foxspa",NA,"19554","Passerella iliaca","Fox Sparrow",2022,32425
